http_method,endpoint,status_code,response_size,request_rate,session_duration,requests_per_session,time_between_requests,failed_requests,url_length,query_param_count,payload_size,distinct_endpoints_accessed,login_attempts,request_pattern_entropy
get,/api/payment,200,4576,12.82,117,253,0.23,3,50,0,4305,13,12,0.6
put,/api/payment,500,1670,9.98,505,224,0.38,11,26,2,1669,7,6,0.73
delete,/api/user/profile,201,3657,3.12,579,24,17.3,0,15,8,6536,6,0,2.38
post,/api/search,201,965,0.24,1010,21,23.56,1,47,1,3476,4,4,2.45
get,/api/user/profile,404,718,12.32,383,67,1.33,8,39,7,6889,13,5,1.44
get,/api/user/profile,404,1053,3.73,891,4,13.44,5,33,3,7377,3,1,2.68
put,/api/user/profile,400,1683,5.0,464,8,0.01,3,24,1,3046,3,3,2.75
delete,/api/search,400,3192,20.54,248,171,0.65,9,49,3,9167,5,5,0.91
get,/api/products,403,2044,3.58,505,21,18.41,5,19,7,1275,6,3,2.4
post,/api/payment,400,2851,0.72,794,56,28.42,2,34,1,7942,5,1,2.01
get,/api/orders,429,4893,3.59,145,12,4.59,4,21,9,8425,5,2,2.37
patch,/api/search,201,2027,3.99,916,22,13.0,0,41,7,4764,4,1,2.28
put,/api/search,200,3621,12.04,252,235,2.26,9,38,3,1279,12,3,0.27
get,/api/cart,401,733,2.59,932,29,12.88,1,21,10,6177,2,0,2.91
delete,/api/cart,404,2872,1.87,299,39,22.81,1,15,4,6407,4,2,1.82
get,/api/search,403,929,0.85,748,19,20.5,2,31,2,5829,1,3,2.45
get,/api/search,429,4182,1.82,1130,12,22.12,1,47,3,5057,5,0,2.14
patch,/api/login,400,2936,2.2,1109,24,26.19,4,32,3,7991,2,3,3.42
get,/api/orders,429,4854,18.29,360,210,2.11,7,48,9,5519,5,5,0.14
get,/api/user/profile,403,1996,1.68,726,45,17.1,5,20,4,9272,6,2,1.48
get,/api/user/profile,200,2733,0.1,697,59,0.91,1,16,5,2603,3,4,2.66
post,/api/products,201,203,1.77,534,4,10.04,3,16,6,5793,3,3,2.15
delete,/api/search,200,4405,0.36,802,47,11.35,0,24,9,2482,4,2,1.41
patch,/api/login,500,1645,4.28,151,5,28.54,5,18,5,6064,6,0,1.1
put,/api/user/profile,401,1926,10.12,330,232,2.55,10,30,10,9143,8,6,0.64
patch,/api/login,200,3522,0.1,168,36,3.15,1,31,10,4308,4,2,2.5
put,/api/login,201,4681,9.83,301,159,0.97,12,24,1,8705,12,2,1.51
patch,/api/search,200,1463,3.25,1004,41,10.57,5,30,8,9127,1,4,2.07
post,/api/payment,401,3056,2.49,551,51,5.99,2,33,7,3028,1,3,1.98
put,/api/payment,201,2340,10.31,278,113,1.49,2,35,0,9948,14,5,0.34
delete,/api/search,401,2003,2.66,542,37,18.09,5,28,8,3019,4,0,1.79
patch,/api/cart,404,4687,3.89,857,26,0.84,4,37,5,2988,5,4,2.15
put,/api/products,500,314,10.97,154,42,0.3,9,27,10,2206,13,6,0.68
get,/api/search,403,1066,0.55,553,37,5.01,0,18,3,7975,1,0,3.0
delete,/api/search,429,1933,2.52,294,10,12.54,3,28,0,2960,4,1,2.77
patch,/api/user/profile,404,4801,12.41,302,253,1.07,4,26,10,6021,10,3,1.81
patch,/api/cart,500,3702,1.01,682,56,6.04,2,27,7,9103,2,0,2.05
patch,/api/products,404,1163,2.55,915,38,1.19,2,50,6,5985,1,2,2.51
delete,/api/products,500,222,18.77,15,200,0.08,11,34,2,6959,11,4,1.14
get,/api/payment,201,3620,3.43,858,15,22.79,4,24,7,5410,3,1,1.75
post,/api/search,403,3331,3.92,519,36,13.57,0,23,7,6193,3,1,2.55
delete,/api/products,401,4674,4.31,329,44,20.62,4,35,3,3719,5,2,2.71
patch,/api/payment,500,2835,0.1,516,23,14.64,5,20,2,114,5,4,2.03
patch,/api/orders,201,640,14.84,304,256,0.59,5,35,10,47,13,5,0.96
patch,/api/cart,403,3129,3.5,801,40,4.2,3,32,2,1458,6,2,2.23
get,/api/user/profile,404,2746,0.48,133,54,7.81,3,22,5,1979,1,4,2.83
get,/api/payment,201,1607,1.4,249,59,12.59,5,49,4,9119,3,3,1.52
patch,/api/payment,429,1104,2.78,186,45,14.65,3,38,6,9229,2,4,2.06
patch,/api/cart,200,2320,2.22,99,1,16.44,1,38,9,6287,2,1,2.01
patch,/api/products,201,2188,0.29,478,31,29.44,2,49,7,8662,3,4,2.12
get,/api/cart,201,3822,11.61,343,121,0.87,5,15,10,7623,9,5,0.32
delete,/api/search,200,4357,2.52,1109,47,16.85,0,24,2,887,6,1,2.0
get,/api/user/profile,404,339,1.56,783,31,8.9,0,15,10,3053,6,0,2.25
get,/api/user/profile,404,4074,14.17,514,181,0.48,5,25,5,1488,5,6,0.78
delete,/api/user/profile,403,3509,6.1,352,119,0.02,11,26,1,1514,10,13,0.91
patch,/api/search,404,1945,5.56,996,54,19.58,5,39,2,9421,6,3,2.86
get,/api/login,201,4514,2.1,832,35,7.16,5,33,8,9592,5,4,2.18
put,/api/cart,400,1082,1.43,1014,54,18.14,1,43,5,6748,3,0,1.51
put,/api/login,404,1511,3.39,921,45,14.06,2,35,2,8382,3,3,2.94
get,/api/user/profile,201,2033,1.41,228,31,7.79,4,42,9,8179,5,2,2.26
post,/api/cart,401,4517,1.85,370,11,21.45,2,28,4,1604,1,0,2.98
post,/api/login,401,1520,5.36,1049,23,11.04,1,30,9,9898,4,3,0.49
post,/api/products,400,3600,1.89,759,59,16.85,4,29,2,1435,3,1,2.93
get,/api/user/profile,401,2537,2.96,264,52,11.03,4,23,10,33,4,4,3.53
put,/api/search,403,613,7.87,587,272,0.85,3,28,2,4768,5,14,0.69
get,/api/user/profile,500,1598,2.4,830,13,6.4,1,34,4,7866,6,1,2.03
post,/api/login,201,4860,3.78,1165,38,16.98,3,47,10,2935,3,4,2.49
post,/api/login,500,4238,15.52,88,222,0.64,4,47,9,5846,6,15,0.99
patch,/api/login,400,2020,2.12,102,49,12.46,1,21,6,2254,6,3,3.16
post,/api/orders,201,4679,2.03,549,38,25.34,3,32,5,8239,4,1,1.73
post,/api/user/profile,200,1884,3.52,456,55,28.17,3,20,0,2526,2,1,3.1
put,/api/user/profile,403,4249,4.53,599,121,0.5,7,39,3,1259,10,6,0.65
post,/api/orders,500,3345,14.81,172,144,1.26,9,23,2,6706,11,4,0.39
patch,/api/login,403,1406,0.1,352,19,8.39,5,38,4,9900,4,1,1.75
delete,/api/login,404,2121,18.39,507,153,0.86,3,38,2,1506,11,3,0.54
post,/api/products,429,4689,6.5,594,14,15.78,5,16,8,8384,6,3,3.17
post,/api/orders,500,2329,2.85,978,24,18.99,4,23,5,4791,6,3,2.29
post,/api/orders,500,4480,2.79,1114,17,19.3,4,42,7,2970,1,3,2.15
get,/api/user/profile,400,2521,11.69,277,231,3.03,3,41,7,1163,8,3,0.61
post,/api/search,404,804,2.45,360,47,13.5,4,50,7,5748,2,2,3.67
delete,/api/login,400,4823,2.06,698,52,11.94,3,33,1,939,4,2,2.57
post,/api/search,200,3967,1.46,994,5,15.89,1,21,8,4333,4,0,3.92
delete,/api/search,201,553,2.95,976,23,17.11,4,16,6,9982,1,1,2.07
delete,/api/login,404,2196,5.06,875,25,30.51,5,44,0,106,1,0,3.01
post,/api/cart,201,827,3.48,506,56,13.12,4,49,1,6206,1,0,2.73
delete,/api/orders,401,1670,1.25,636,40,5.99,2,50,2,2487,4,0,1.61
put,/api/user/profile,403,2669,3.12,358,7,3.97,0,39,5,5354,3,3,2.2
patch,/api/cart,400,2611,11.76,61,209,0.46,9,24,4,2266,5,7,1.04
put,/api/products,400,317,15.85,208,118,1.55,2,30,1,8585,8,4,0.37
put,/api/user/profile,429,2087,4.18,1195,1,12.73,3,17,9,6335,3,1,2.2
delete,/api/login,429,2639,2.08,203,59,14.97,5,35,4,5254,1,0,2.25
delete,/api/orders,400,4469,1.24,765,13,8.99,2,44,3,2392,2,1,2.58
put,/api/products,401,446,2.26,653,28,19.22,5,16,2,1640,1,2,2.53
put,/api/products,400,1285,12.31,264,196,1.69,7,48,9,6805,11,13,1.44
get,/api/payment,201,3193,4.53,536,52,25.77,5,44,7,131,5,3,3.37
patch,/api/login,500,3517,2.94,784,16,15.26,4,36,0,9451,3,2,3.02
get,/api/products,403,2615,3.6,191,3,12.53,5,29,0,581,1,4,2.74
put,/api/orders,429,3847,2.45,446,36,8.17,0,41,3,1645,2,4,3.27
patch,/api/user/profile,200,3283,12.22,282,135,0.7,8,31,6,1835,8,13,1.19
get,/api/orders,401,4768,22.26,330,199,0.05,2,33,7,5505,9,7,1.25
put,/api/products,400,1200,3.1,756,23,17.48,5,16,0,1847,3,2,1.82
delete,/api/user/profile,400,3731,0.76,124,47,17.58,2,26,3,3881,4,3,1.68
get,/api/cart,401,3922,1.7,745,56,19.01,5,46,10,3574,6,1,1.91
get,/api/login,401,3569,4.91,971,23,24.79,0,24,4,9226,5,3,1.56
put,/api/search,401,3055,8.27,81,274,0.74,3,47,10,9576,14,5,1.2
post,/api/products,201,1463,10.79,444,183,3.18,5,15,10,9821,11,12,1.11
patch,/api/products,500,3097,1.88,270,21,18.69,1,17,6,6152,1,3,1.59
put,/api/payment,201,913,15.19,308,80,0.01,8,35,6,8878,6,6,0.58
get,/api/user/profile,404,1606,0.1,897,16,21.16,1,24,9,1457,5,1,3.17
delete,/api/cart,200,232,0.45,1106,19,17.63,5,44,10,4788,2,2,3.13
delete,/api/products,404,2016,1.83,265,33,20.39,1,30,6,3225,2,0,0.83
delete,/api/payment,404,357,4.15,749,2,15.24,3,47,5,2424,4,3,2.35
put,/api/payment,403,1801,3.98,1076,18,28.83,0,42,8,4645,1,2,2.79
get,/api/login,401,4965,18.43,509,94,0.08,8,24,7,1330,6,12,0.89
patch,/api/user/profile,500,3648,1.09,740,1,11.92,0,15,1,8379,3,4,2.38
post,/api/search,429,3775,4.91,237,22,0.01,1,36,1,7987,1,4,3.22
put,/api/user/profile,404,2223,8.25,150,290,1.24,12,46,6,6060,10,8,1.27
put,/api/login,401,3586,1.34,993,11,25.33,3,26,8,1523,6,0,3.34
get,/api/search,404,3852,2.11,1029,20,15.23,4,34,10,4845,4,3,1.94
patch,/api/payment,500,2489,4.72,422,7,2.91,1,17,5,951,4,2,2.82
put,/api/login,500,840,9.61,586,259,0.78,5,29,4,1421,12,10,0.36
put,/api/payment,500,3653,2.71,999,53,0.01,1,39,5,6910,5,4,2.53
get,/api/payment,200,4776,3.8,962,55,11.18,5,31,3,9591,1,3,3.51
get,/api/login,401,1307,6.16,261,211,0.43,10,18,3,1306,12,4,1.28
get,/api/payment,404,4300,2.4,1080,46,36.78,5,46,9,5824,3,4,1.5
get,/api/orders,404,989,3.43,170,60,9.4,3,16,8,3345,2,4,2.37
patch,/api/payment,401,607,0.61,102,15,22.03,1,35,2,4284,6,3,2.47
put,/api/payment,401,4867,4.13,424,54,16.4,4,41,1,496,1,2,1.34
patch,/api/orders,500,3568,4.14,1128,28,0.01,4,46,6,2495,5,3,1.38
delete,/api/payment,404,2207,1.12,765,48,7.77,1,19,2,827,3,4,3.34
get,/api/payment,401,1983,2.24,125,14,24.98,3,19,3,4897,4,2,2.16
get,/api/payment,400,1655,13.27,86,285,2.25,9,21,0,1697,9,11,0.46
put,/api/login,403,3390,3.53,923,16,11.51,0,20,9,6877,6,1,2.0
post,/api/orders,429,1534,1.78,165,28,14.64,2,28,7,8380,5,4,3.31
get,/api/search,200,211,0.1,1068,25,15.18,5,23,2,7185,4,3,2.87
post,/api/orders,403,3670,2.79,509,39,25.48,4,36,9,5038,4,3,2.46
put,/api/user/profile,429,4305,11.26,208,131,1.03,2,45,0,3391,11,5,0.51
put,/api/payment,403,1880,1.46,724,14,18.29,0,16,8,1828,4,4,2.82
put,/api/login,404,3833,12.4,323,162,0.75,7,29,1,4693,10,13,0.1
put,/api/orders,200,1383,12.14,578,117,0.04,12,31,5,8611,5,10,0.13
delete,/api/cart,401,4340,1.8,560,43,27.25,5,27,3,8634,2,1,1.12
patch,/api/user/profile,404,1678,2.95,976,14,21.62,4,24,3,5449,4,3,2.92
post,/api/orders,429,449,3.68,293,38,22.45,4,27,3,4740,3,4,2.14
patch,/api/orders,500,3839,0.85,948,12,0.01,4,49,6,7260,4,0,2.28
patch,/api/login,200,3677,8.89,523,156,0.18,5,25,4,2298,9,2,1.26
delete,/api/orders,201,1932,13.09,550,180,0.31,11,24,9,4933,11,3,0.78
delete,/api/orders,403,2056,7.25,416,205,0.09,2,47,10,5814,15,2,1.6
patch,/api/orders,500,2030,5.35,93,60,14.09,2,37,9,7991,3,0,3.15
delete,/api/payment,400,1358,12.15,509,295,0.41,11,42,4,6207,7,11,1.27
get,/api/login,500,3779,4.43,481,226,1.88,2,30,8,634,14,15,1.27
patch,/api/cart,429,862,8.14,82,119,0.17,2,37,5,8679,5,9,0.5
post,/api/payment,403,2490,1.83,953,22,10.46,1,20,3,9368,6,1,2.88
post,/api/search,404,3766,2.8,708,28,15.79,4,38,1,213,1,2,4.0
post,/api/user/profile,401,4544,5.11,291,5,0.01,3,24,1,4512,5,1,2.23
patch,/api/user/profile,201,4316,6.14,540,1,10.4,5,37,0,5249,2,1,3.75
get,/api/search,403,2431,10.29,372,255,2.71,7,15,9,3961,13,6,0.98
get,/api/user/profile,429,1454,2.34,579,33,29.2,3,29,0,774,4,2,1.61
delete,/api/payment,404,3281,2.71,343,54,15.52,5,42,0,5899,4,1,2.99
put,/api/cart,401,4981,1.23,1161,58,1.05,4,21,9,5052,6,1,2.59
get,/api/cart,403,4272,13.12,590,238,1.3,2,19,4,3068,11,11,1.4
get,/api/search,200,4601,2.18,1053,29,0.01,1,30,1,4311,2,4,1.67
post,/api/products,429,4725,18.8,537,266,0.27,6,40,6,8707,10,12,0.81
get,/api/cart,404,2408,3.35,297,21,10.27,3,29,10,8904,1,2,3.43
patch,/api/cart,201,3047,0.83,620,40,1.09,5,22,4,4441,5,0,3.16
get,/api/orders,403,2769,2.9,382,252,0.94,4,36,3,6537,10,8,0.35
patch,/api/products,400,1711,2.49,636,60,4.72,1,39,6,4413,4,1,2.49
get,/api/products,401,1844,4.96,538,26,23.63,1,20,10,5910,3,2,2.99
get,/api/payment,401,3850,11.22,506,299,1.22,6,25,2,3713,14,9,0.55
get,/api/user/profile,401,1184,4.43,1129,35,12.94,2,28,10,5146,3,4,2.67
delete,/api/products,404,3798,1.1,1036,10,7.02,4,46,9,9367,4,3,2.91
put,/api/search,400,2570,10.23,48,201,0.04,6,21,5,2119,15,7,0.72
delete,/api/payment,500,3063,1.97,575,39,10.03,0,26,0,1578,2,2,2.08
delete,/api/cart,201,1851,2.94,526,13,26.02,3,32,1,8051,1,3,2.49
delete,/api/cart,404,4559,11.69,329,223,0.63,3,27,8,7968,10,6,0.93
patch,/api/orders,403,4537,1.39,1155,17,23.45,1,23,7,2783,5,4,3.08
delete,/api/login,403,3129,3.58,757,1,29.56,1,22,10,9997,1,0,2.45
get,/api/login,429,2854,3.47,344,52,10.32,3,18,4,3400,2,1,3.97
put,/api/orders,401,4814,5.48,348,11,15.1,3,44,3,5000,3,2,2.73
patch,/api/orders,500,2291,17.44,398,71,2.88,2,15,5,1469,7,11,0.67
get,/api/payment,404,2563,2.4,811,27,18.47,2,26,6,667,2,0,1.3
post,/api/search,404,4806,15.49,483,136,0.37,10,25,2,5341,9,12,1.77
put,/api/user/profile,404,3768,3.86,810,21,13.19,0,27,8,3082,5,1,3.36
get,/api/cart,403,1662,1.44,206,16,6.56,1,19,4,4706,6,4,2.46
delete,/api/products,401,494,11.67,542,142,1.59,10,27,5,4077,9,13,1.11
post,/api/cart,400,2295,2.38,945,35,14.82,5,45,1,5864,6,4,2.49
get,/api/login,400,990,1.08,270,46,6.3,1,41,9,8389,1,1,3.25
put,/api/search,201,2953,16.36,432,105,1.46,3,17,4,5273,12,6,1.23
patch,/api/user/profile,429,1757,3.8,265,14,14.88,1,36,5,4402,2,3,0.73
post,/api/login,404,2973,1.54,991,16,9.99,1,23,7,9161,3,1,1.91
post,/api/search,201,3256,2.68,536,1,11.65,4,15,7,9186,5,4,2.01
patch,/api/search,200,495,0.91,1002,18,9.28,3,24,4,1491,1,0,3.17
post,/api/orders,429,3545,9.36,179,282,1.79,2,42,8,7090,14,4,0.59
post,/api/login,403,2273,2.3,181,46,6.41,5,44,3,6595,1,3,3.69
put,/api/products,404,4689,2.61,479,44,24.2,0,39,9,7395,1,1,2.8
post,/api/search,429,571,2.44,742,11,14.25,5,42,2,80,5,0,2.06
get,/api/cart,201,2183,1.82,272,19,6.94,0,32,7,4468,1,2,1.83
put,/api/login,400,2537,5.63,986,9,17.23,2,36,3,9825,6,2,3.38
patch,/api/login,404,1721,1.31,812,44,4.99,1,43,6,8243,4,4,1.91
post,/api/search,200,4034,10.31,275,121,0.1,10,15,9,7132,7,2,0.81
patch,/api/login,401,4286,3.45,542,8,14.06,3,45,0,8706,2,0,2.23
put,/api/user/profile,401,2060,2.87,1016,6,18.8,3,16,0,3271,2,1,2.92
put,/api/orders,403,4618,16.71,81,91,0.62,7,34,2,2310,14,3,0.96
get,/api/user/profile,429,3739,2.6,300,16,2.78,0,46,1,3394,2,2,3.57
put,/api/products,400,3860,5.91,495,9,19.95,2,28,4,9766,3,1,2.55
post,/api/products,400,1807,2.09,60,44,11.29,3,19,5,4602,1,2,3.23
delete,/api/products,201,2270,2.47,350,32,28.39,5,21,0,5672,5,0,2.52
put,/api/search,429,4375,1.88,891,17,10.19,5,45,9,7102,4,2,2.05
delete,/api/user/profile,400,975,3.27,536,14,4.64,1,43,0,2801,6,1,2.01
delete,/api/login,429,540,4.49,1166,23,7.36,0,28,8,4639,1,2,3.02
patch,/api/search,429,772,0.1,887,5,26.6,2,38,9,2780,4,0,1.74
patch,/api/user/profile,403,4153,8.49,592,47,2.59,5,19,1,3014,8,2,1.07
post,/api/payment,401,3244,0.71,375,3,30.55,3,50,2,3646,2,1,2.04
post,/api/cart,400,2214,3.5,997,39,23.48,1,40,0,9033,4,3,2.17
put,/api/login,200,3330,16.15,395,213,0.7,9,48,1,5069,7,6,1.11
patch,/api/cart,403,2146,1.32,414,54,26.99,4,28,9,1960,1,4,2.84
delete,/api/user/profile,403,2158,0.66,751,1,30.85,3,25,7,1586,3,2,2.23
post,/api/cart,400,2436,4.31,237,44,16.17,3,18,8,8621,4,4,2.72
post,/api/search,200,2189,3.85,88,58,21.77,5,45,6,2600,1,2,2.29
post,/api/products,403,2477,3.3,539,21,18.65,3,42,6,8199,4,4,2.63
get,/api/payment,404,4506,2.2,753,34,16.69,5,20,1,871,5,2,3.68
post,/api/products,401,2957,2.06,90,7,24.65,2,42,3,1336,6,0,2.13
delete,/api/user/profile,201,1828,1.18,1198,18,41.21,3,49,3,5032,1,4,2.82
get,/api/cart,201,2641,3.35,1196,2,19.76,1,47,2,5096,1,4,3.34
get,/api/products,429,2010,3.11,1011,35,21.53,5,34,9,257,5,4,1.86
post,/api/search,200,1956,3.98,589,7,13.11,4,16,7,6372,6,2,2.9
delete,/api/cart,403,4486,5.14,561,109,0.57,12,19,8,1730,7,2,1.22
put,/api/products,429,1805,2.65,351,55,13.18,2,40,2,419,2,3,2.74
patch,/api/cart,429,4517,5.93,456,5,0.89,4,39,3,7174,4,0,2.97
post,/api/payment,429,2802,1.13,1045,3,14.84,2,39,5,6293,2,3,2.35
delete,/api/orders,200,2965,1.86,289,6,14.92,0,48,9,3141,1,1,1.82
delete,/api/search,401,3044,4.04,1002,27,0.65,0,47,10,4229,2,2,2.82
post,/api/payment,404,1976,2.01,357,11,5.63,4,23,1,54,5,4,2.62
get,/api/user/profile,200,1068,5.77,263,290,0.27,8,34,0,5556,15,7,0.31
delete,/api/login,429,757,2.55,352,44,24.3,3,22,8,3160,2,4,2.97
delete,/api/search,500,2807,2.38,457,25,7.09,3,26,9,6734,6,3,2.6
delete,/api/user/profile,201,1332,1.46,1006,60,16.61,4,31,5,2684,3,4,1.47
delete,/api/products,429,3820,3.71,393,17,15.27,2,48,9,6029,6,4,3.83
post,/api/user/profile,403,1935,17.22,92,192,0.62,4,50,2,8942,14,2,1.11
delete,/api/search,400,4144,1.77,461,51,24.9,2,29,3,776,4,3,2.35
put,/api/orders,429,1033,1.81,146,56,18.8,4,46,7,3083,5,2,1.86
patch,/api/user/profile,401,3076,4.03,199,30,6.55,0,40,2,5218,1,4,1.87
get,/api/search,403,803,1.14,763,24,21.08,0,37,6,6262,3,0,2.13
delete,/api/products,401,4823,6.61,177,98,0.78,9,16,5,3176,13,7,0.41
get,/api/cart,500,4145,16.73,166,182,0.46,10,38,6,8053,8,11,1.64
put,/api/search,200,4187,1.21,1094,19,12.42,1,43,5,7802,5,3,2.28
delete,/api/user/profile,401,2373,1.87,239,50,19.97,5,39,8,2087,5,4,3.07
put,/api/search,201,2442,2.04,280,6,5.11,4,33,8,7838,3,3,3.26
patch,/api/orders,200,3557,2.36,1132,35,28.84,3,49,8,8551,4,1,1.15
get,/api/products,429,2907,2.79,666,26,30.35,1,20,8,6630,3,1,2.29
put,/api/login,429,2779,2.16,1051,40,17.36,0,21,10,4152,6,4,2.16
get,/api/payment,429,2725,2.03,1008,3,12.3,0,19,2,4308,2,2,2.12
put,/api/cart,400,3993,4.34,294,25,18.69,4,22,1,3511,2,1,2.65
patch,/api/user/profile,403,1974,3.71,966,44,12.89,2,24,8,2956,2,2,2.04
patch,/api/payment,403,3395,1.6,597,40,15.01,4,48,7,3380,1,1,1.86
put,/api/orders,403,3048,1.75,1014,4,10.87,5,49,9,476,5,1,3.77
delete,/api/user/profile,500,1653,0.1,931,19,13.56,3,32,4,4923,5,2,3.54
put,/api/payment,201,855,2.68,999,20,21.03,4,24,2,623,5,1,2.56
patch,/api/products,404,1553,1.5,631,3,0.01,2,29,7,128,6,2,2.62
get,/api/user/profile,403,2164,1.34,384,47,8.6,3,25,6,7662,4,0,2.2
get,/api/payment,429,4141,5.12,535,35,34.24,5,30,0,5824,6,2,2.63
put,/api/user/profile,401,1579,1.8,481,6,5.58,1,28,0,7818,3,0,2.78
delete,/api/login,404,2661,5.17,1080,54,13.02,4,45,5,9871,6,1,1.07
patch,/api/payment,401,4884,14.68,143,192,0.47,4,32,6,8656,11,8,1.04
get,/api/search,400,4221,2.73,336,25,10.64,1,19,9,2533,1,1,2.63
delete,/api/payment,404,4941,15.91,455,252,0.12,12,15,10,1916,11,6,0.76
put,/api/orders,500,243,4.02,114,12,11.77,0,17,0,656,5,0,1.61
post,/api/cart,403,3678,3.8,250,223,1.21,8,39,1,7323,5,14,0.3
post,/api/products,429,2855,3.06,264,50,4.72,0,18,6,8436,4,3,1.72
post,/api/orders,200,3426,0.1,548,54,11.94,2,27,2,7586,3,0,2.48
post,/api/payment,429,3303,1.72,586,50,26.12,5,44,6,4167,5,2,3.29
put,/api/login,201,341,5.39,493,49,15.37,3,45,3,8317,4,2,3.21
post,/api/search,500,4245,13.24,224,160,0.09,6,40,5,7566,6,7,0.94
get,/api/login,401,1888,5.38,840,11,2.8,5,34,8,9468,5,2,1.81
post,/api/login,404,1007,15.42,58,49,0.82,10,28,1,8338,12,9,0.91
delete,/api/login,401,4349,10.56,407,203,0.13,2,38,10,4887,6,3,1.28
delete,/api/cart,200,747,0.2,194,31,5.97,3,18,6,5920,6,1,3.08
delete,/api/login,500,4032,15.49,90,59,0.06,10,35,6,9795,15,4,0.51
get,/api/user/profile,400,4710,1.16,796,25,5.86,3,23,1,285,5,0,2.59
post,/api/login,429,4942,1.73,832,13,18.91,0,21,8,6623,2,2,1.46
put,/api/products,404,3010,0.82,413,2,15.41,3,48,3,892,2,4,3.38
delete,/api/products,401,899,3.07,258,47,10.28,0,26,7,2680,3,4,1.61
put,/api/login,500,968,1.53,221,36,14.66,0,22,0,3701,4,3,1.09
delete,/api/login,200,347,7.15,277,94,0.61,9,18,0,251,15,12,0.5
get,/api/products,201,3110,16.76,91,87,2.02,5,50,1,9506,7,15,1.07
delete,/api/cart,404,4667,0.32,214,34,14.74,5,27,3,6507,1,2,3.03
patch,/api/login,401,4477,4.09,439,45,17.97,5,23,6,5694,2,4,2.36
delete,/api/user/profile,400,3948,3.13,902,44,21.46,4,43,10,439,5,4,2.57
put,/api/orders,429,4151,2.84,981,29,13.0,5,28,10,8306,4,2,1.7
patch,/api/search,400,3755,2.24,518,37,9.58,1,46,8,8193,1,2,2.1
put,/api/products,404,4410,4.65,226,30,22.61,1,43,10,9182,6,1,1.48
post,/api/user/profile,200,3793,0.87,506,4,12.09,4,19,10,9850,6,4,2.12
put,/api/cart,429,4197,13.27,90,291,1.31,6,22,1,7206,9,15,0.44
delete,/api/search,500,1662,9.45,58,168,3.31,3,32,0,8281,11,8,0.78
post,/api/payment,201,4007,10.64,469,71,0.03,3,22,0,4387,12,12,0.89
delete,/api/payment,200,1763,0.1,221,16,8.54,0,34,6,1785,3,4,2.27
put,/api/login,404,814,4.76,674,21,6.36,0,41,4,1427,3,1,2.6
post,/api/search,400,2797,4.74,741,2,4.5,0,15,1,9284,3,3,2.74
delete,/api/user/profile,403,2456,1.3,262,53,10.96,1,50,6,4500,2,2,2.02
patch,/api/login,403,3509,9.07,543,181,0.88,2,38,1,3349,14,8,1.06
get,/api/payment,400,340,2.64,1117,17,19.26,3,38,0,9923,5,0,1.81
post,/api/payment,201,1583,2.87,510,9,25.39,4,33,9,1771,1,3,1.98
delete,/api/search,500,3476,1.17,408,18,20.7,2,22,10,9389,4,0,1.92
patch,/api/payment,401,3085,2.15,311,16,26.81,5,42,2,8903,3,1,1.98
put,/api/cart,400,835,4.82,974,43,12.31,3,49,10,2106,2,0,1.83
post,/api/orders,500,2089,3.41,1131,28,15.86,5,24,2,3566,6,2,2.51
delete,/api/payment,500,4635,1.35,384,22,15.8,2,32,7,5688,5,0,1.26
delete,/api/products,404,1695,2.83,67,23,25.38,3,37,3,2893,4,4,1.44
post,/api/products,404,2361,1.89,815,21,8.0,0,46,2,8908,4,4,1.59
delete,/api/search,201,2322,0.1,414,12,5.55,0,33,8,7797,4,2,2.35
put,/api/search,400,374,4.22,1185,9,2.82,5,45,10,8228,1,0,2.68
patch,/api/payment,404,2323,2.83,68,42,28.38,5,46,9,1343,6,4,2.84
patch,/api/payment,404,3997,3.44,106,1,20.59,5,47,8,4057,2,1,1.95
post,/api/orders,200,302,1.64,673,4,23.93,4,29,7,8751,6,0,1.27
put,/api/search,201,3133,9.27,532,229,0.97,11,20,2,2298,10,4,0.93
patch,/api/user/profile,401,3523,2.07,284,7,8.29,3,33,8,8001,1,0,2.05
get,/api/search,500,4631,11.14,543,144,0.29,6,42,10,8032,14,14,0.1
patch,/api/cart,201,585,1.34,678,29,10.74,5,29,5,3090,1,3,3.06
delete,/api/search,429,3644,3.64,237,24,29.38,2,30,1,4457,6,4,2.31
put,/api/search,429,2864,1.54,752,40,18.35,2,36,1,7796,2,4,2.16
put,/api/search,201,1080,1.71,107,49,13.38,5,15,6,4063,1,0,3.49
put,/api/payment,404,732,14.82,523,101,1.11,12,43,9,1847,10,11,1.12
post,/api/products,201,474,4.05,479,2,3.73,2,15,6,9610,5,4,2.77
post,/api/search,401,594,3.78,404,25,22.13,3,43,5,47,6,2,1.83
put,/api/login,200,2870,1.51,285,4,22.96,4,25,0,8852,1,0,2.04
put,/api/cart,401,2295,10.8,97,226,0.81,8,44,8,1736,14,8,0.51
get,/api/orders,201,4003,3.56,225,39,7.75,3,42,2,4089,4,0,2.01
get,/api/cart,403,2748,15.01,484,254,0.19,3,23,4,6373,12,7,0.85
post,/api/payment,403,3808,2.13,1077,6,17.67,1,37,1,9749,5,2,3.28
put,/api/login,400,1097,3.5,697,55,9.29,4,41,5,4033,3,3,3.21
patch,/api/payment,200,2171,2.05,883,32,5.11,2,21,5,7877,2,1,2.4
